track0;track4;track9;track14;track18;trackPos;angle;speedX;accelerate;brake;steering
-1.0;-1.0;-1.0;-1.0;-1.0;2.78334;-1.79932;-0.0520886;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7833;-1.79933;-0.0509446;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78325;-1.79934;-0.0552994;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7832;-1.79936;-0.0545852;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78316;-1.79937;-0.055195;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78311;-1.79939;-0.0545551;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78306;-1.79941;-0.0549997;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78301;-1.79942;-0.0549131;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78297;-1.79944;-0.0549719;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78292;-1.79946;-0.0563573;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78287;-1.79947;-0.0566073;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78282;-1.79949;-0.0570736;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78277;-1.7995;-0.0577222;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78273;-1.79952;-0.058478;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78268;-1.79953;-0.0579737;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78263;-1.79955;-0.059226;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78258;-1.79956;-0.0584229;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78254;-1.79958;-0.0598606;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78249;-1.79959;-0.0600096;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78243;-1.79961;-0.0640818;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78238;-1.79962;-0.0642115;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78233;-1.79966;-0.0378249;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78227;-1.79971;-0.0699654;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.78222;-1.79971;-0.0729335;0.0;0.0;0.0
