SPEED_X;SPEED_Y;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL_CODE;LABEL_NAME
0,94926;0,33533;0,46912;0,67775;0,02830;0,04955;1,00000;0,43794;0,25480;0,14076;0,08385;0;Gira Sinistra
0,57920;0,59973;0,47829;0,95102;0,00439;0,00695;0,01215;0,01981;0,05487;0,41816;0,13852;2;Gira Destra
0,57857;0,60044;0,48025;0,96470;0,00322;0,00516;0,00925;0,01568;0,05270;0,38659;0,13642;2;Gira Destra
0,57793;0,60122;0,48224;0,97760;0,00208;0,00338;0,00624;0,01107;0,05069;0,35927;0,13426;2;Gira Destra
0,57728;0,60303;0,48431;0,98974;0,00097;0,00160;0,00305;0,00573;0,04985;0,33502;0,13202;2;Gira Destra
0,57663;0,60519;0,48641;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57596;0,61211;0,48899;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57535;0,63475;0,49176;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57465;0,65736;0,49453;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57382;0,67936;0,49728;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57309;0,69369;0,49962;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57280;0,69731;0,50114;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57259;0,69490;0,50236;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57274;0,68866;0,50311;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57303;0,67444;0,50321;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57327;0,65224;0,50270;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57332;0,62898;0,50197;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57331;0,60652;0,50146;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57359;0,59316;0,50126;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57406;0,57936;0,50102;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57431;0,56286;0,50056;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57449;0,54933;0,50022;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57461;0,54251;0,50021;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57482;0,53912;0,50037;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57531;0,53709;0,50046;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57592;0,53205;0,50035;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57611;0,52544;0,50007;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57630;0,52057;0,49986;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57652;0,51684;0,49963;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57719;0,51307;0,49933;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57753;0,50937;0,49902;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57776;0,50567;0,49872;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57789;0,50315;0,49852;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57810;0,50168;0,49836;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57861;0,50044;0,49819;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57899;0,49994;0,49808;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57914;0,49649;0,49830;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57909;0,49567;0,49936;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57910;0,50175;0,50105;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;2;Gira Destra
0,57955;0,51106;0,50297;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57979;0,52043;0,50475;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,57992;0,52661;0,50597;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58002;0,52987;0,50684;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58016;0,53252;0,50755;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58044;0,53396;0,50806;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58116;0,53099;0,50823;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58141;0,52503;0,50811;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58153;0,51973;0,50796;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58169;0,51624;0,50787;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58200;0,51347;0,50771;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58271;0,51021;0,50749;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58293;0,50664;0,50725;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58307;0,50400;0,50708;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58319;0,50240;0,50695;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58350;0,50102;0,50678;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58420;0,49952;0,50657;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58445;0,49893;0,50645;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58460;0,49857;0,50637;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58469;0,49829;0,50629;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58500;0,49773;0,50616;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58568;0,49737;0,50604;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58593;0,49774;0,50600;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58609;0,49810;0,50598;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58615;0,49811;0,50594;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58648;0,49761;0,50583;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58714;0,49708;0,50571;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58742;0,49732;0,50566;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58759;0,49756;0,50563;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58771;0,49750;0,50557;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58806;0,49710;0,50547;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58868;0,49713;0,50541;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
0,58892;0,49765;0,50540;1,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;1;Accelera
