SPEEDX;SPEEDY;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL
37.3975;0.0000;-0.0061;-0.3300;9.4770;14.3063;36.8025;200.0000;24.2364;7.4923;4.8416;0
37.7500;-0.0002;-0.0063;-0.3297;9.4733;14.2963;36.7674;200.0000;24.2874;7.4986;4.8445;0
38.1424;-0.0000;-0.0065;-0.3293;9.4687;14.2853;36.7298;200.0000;24.3439;7.5061;4.8482;0
38.5383;0.0001;-0.0067;-0.3290;9.4644;14.2741;36.6894;200.0000;24.4021;7.5133;4.8516;0
38.9392;-0.0003;-0.0069;-0.3287;9.4602;14.2628;36.6514;200.0000;24.4577;7.5202;4.8547;0
39.3447;0.0001;-0.0071;-0.3283;9.4559;14.2515;36.6143;200.0000;24.5125;7.5275;4.8581;0
39.7530;0.0002;-0.0074;-0.3280;9.4513;14.2394;36.5743;200.0000;24.5693;7.5351;4.8617;0
40.1655;-0.0000;-0.0076;-0.3277;9.4469;14.2273;36.5356;200.0000;24.6263;7.5426;4.8652;0
40.5818;-0.0000;-0.0079;-0.3273;9.4424;14.2154;36.4970;200.0000;24.6829;7.5502;4.8684;0
41.0022;0.0000;-0.0081;-0.3270;9.4380;14.2029;36.4586;200.0000;24.7390;7.5580;4.8721;0
41.4268;0.0000;-0.0083;-0.3267;9.4333;14.1900;36.4195;200.0000;24.7955;7.5657;4.8755;0
41.8558;0.0000;-0.0086;-0.3264;9.4286;14.1769;36.3806;200.0000;24.8523;7.5739;4.8790;0
42.2889;-0.0000;-0.0088;-0.3260;9.4240;14.1634;36.3424;200.0000;24.9075;7.5820;4.8825;0
42.7254;0.0000;-0.0091;-0.3257;9.4190;14.1495;36.3030;200.0000;24.9657;7.5906;4.8863;0
